"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",44,40319,44938,11087,8462,420,260,105693,0.38147275600087,0.42517479870947,0.104898148410964,0.080062066551238,0.00643372787223373,"CVAP",2022,0.591367616280063,0.394939275678297,"D",19.6,-19.6,23322,98,22
"House",45,69267,20472,8447,8868,628,35,108274,0.639738071928626,0.189075863088091,0.0780150359273695,0.0819033193564475,0.00612335371372629,"CVAP",2022,0.495095345342283,0.491219731500322,"D",0.4,-0.4,23345,79,42
"House",46,26536,64060,15266,3017,483,4,110168,0.240868491758042,0.581475564592259,0.13857018371941,0.0273854476799071,0.0044205213855203,"CVAP",2022,0.630436977542619,0.354836247697875,"D",27.6,-27.6,21780,103,17
"House",47,37270,70359,10746,3489,581,210,122856,0.303363287100345,0.572694862277789,0.087468255518656,0.0283991013869896,0.00643843198541382,"CVAP",2022,0.53656935107348,0.448999356903169,"D",8.8,-8.8,24810,85,35
"House",48,79507,30892,21361,1908,990,95,134975,0.589049824041489,0.228872013335803,0.158258936840156,0.0141359511020559,0.00803852565289868,"CVAP",2022,0.422421630400199,0.565469549322454,"R",14.3,14.3,18668,50,71
"House",49,86116,21633,15903,2747,862,231,127813,0.673765579401156,0.169255083598695,0.124423963133641,0.0214923364602975,0.00855155578853481,"CVAP",2022,0.33971521649783,0.64558036915866,"R",30.6,30.6,20690,20,101
"House",50,88571,20086,23051,2481,961,67,135319,0.654534839896836,0.148434440100799,0.170345627738898,0.0183344541416948,0.00759686370723993,"CVAP",2022,0.396025741189101,0.587640836596052,"R",19.2,19.2,23348,43,79
"House",51,80771,38453,16155,2680,693,0,138723,0.582246635381299,0.277192678935721,0.116455093964231,0.0193190747028251,0.0049955667048723,"CVAP",2022,0.435865202631635,0.550534589430734,"R",11.5,11.5,19703,58,64
"House",52,139865,9224,10801,1495,1067,73,162590,0.860231256534842,0.0567316563134264,0.0664308998093364,0.00919490743588167,0.00701150132234455,"CVAP",2022,0.294946726123572,0.696401898618425,"R",40.1,40.1,23357,10,111
"House",53,110183,18528,5995,2119,989,78,138175,0.797416319884205,0.134090826850009,0.043387009227429,0.0153356251130812,0.00772209155056993,"CVAP",2022,0.334303219906856,0.652884178702746,"R",31.9,31.9,23353,16,105
"House",54,95965,25495,13129,4721,975,123,140726,0.681928001932834,0.181167659139036,0.0932947713997413,0.0335474610235493,0.00780239614570158,"CVAP",2022,0.405904606831198,0.579433843342701,"R",17.4,17.4,21380,46,75
"House",55,102860,19455,7082,4433,926,42,135024,0.761790496504325,0.144085495911838,0.0524499348264012,0.0328312003791918,0.00716909586443891,"CVAP",2022,0.363465900433287,0.622348172048191,"R",25.9,25.9,23331,30,91
"House",56,107857,15945,5997,1704,812,94,132630,0.813217220839931,0.120221669305587,0.0452160144763628,0.0128477719972857,0.00683103370278218,"CVAP",2022,0.376021500506657,0.607186986146575,"R",23.1,23.1,23333,33,88
"House",57,123338,10473,6106,3529,607,35,144207,0.855284417538677,0.072624768561859,0.0423419112803123,0.0244717662804163,0.00445193367867024,"CVAP",2022,0.415830988552532,0.570459412752059,"R",15.5,15.5,23359,48,73
