"people_id","person_hash","party_id","state_id","party","role_id","role","legislator_name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","committee_sponsor","committee_id","state_federal","session"
19037,"bbztrlc7","2",9,"R",1,"Rep","Chuck Clemons","Charles","Wesley","Clemons","Sr.","Chuck","HD-022",41676711,172848,"",571673,"http://ballotpedia.org/Chuck_Clemons","",0,0,0,"2023-2023_Regular_Session"
19040,"tel60gti","1",9,"D",1,"Rep","Kimberly Daniels","Kimberly","","Daniels","","","HD-014",40751169,172823,"",571637,"http://ballotpedia.org/Kimberly_Daniels","",0,0,0,"2023-2023_Regular_Session"
19047,"8wlq5hrd","2",9,"R",1,"Rep","Tom Leek","Thomas","J.","Leek","","Tom","HD-028",42540514,172855,"",571685,"http://ballotpedia.org/Tom_Leek","",0,0,0,"2023-2023_Regular_Session"
19064,"i67rpplo","2",9,"R",2,"Sen","Erin Grall","Erin","K.","Grall","","","SD-029",61683,117112,"",289453,"http://ballotpedia.org/Erin_Grall","",0,0,0,"2023-2023_Regular_Session"
19068,"1lo03jw5","2",9,"R",1,"Rep","Rick Roth","Rick","","Roth","","","HD-094",41676849,172666,"",564090,"http://ballotpedia.org/Rick_Roth","",0,0,0,"2023-2023_Regular_Session"
19069,"da40al3z","2",9,"R",1,"Rep","Stan McClain","Stan","","McClain","","","HD-027",41676728,81346,"",571677,"http://ballotpedia.org/Stan_McClain","",0,0,0,"2023-2023_Regular_Session"
19070,"wu9jigw3","2",9,"R",2,"Sen","Clay Yarborough","Clay","","Yarborough","","","SD-004",40769504,172816,"",571636,"http://ballotpedia.org/Clay_Yarborough","",0,0,0,"2023-2023_Regular_Session"
19218,"qkwsblm5","1",9,"D",2,"Sen","Tracie Davis","Tracie","","Davis","","","SD-005",41612514,172818,"",588925,"http://ballotpedia.org/Tracie_Davis","",0,0,0,"2023-2023_Regular_Session"
19426,"1n26wu92","2",9,"R",1,"Rep","Daniel Perez","Daniel","","Perez","","","HD-116",43850320,176476,"",638466,"http://ballotpedia.org/Daniel_Anthony_Perez","",0,0,0,"2023-2023_Regular_Session"
19490,"0xmf4ufu","2",9,"R",1,"Rep","Lawrence McClure","Lawrence","","McClure","","","HD-068",43967912,176697,"",649162,"http://ballotpedia.org/Lawrence_McClure","",0,0,0,"2023-2023_Regular_Session"
19698,"tvftvkha","2",9,"R",1,"Rep","Tyler Sirois","Tyler","","Sirois","","","HD-031",45388091,117237,"",293159,"http://ballotpedia.org/Tyler_Sirois","",0,0,0,"2023-2023_Regular_Session"
19701,"7b7vdjb1","1",9,"D",1,"Rep","Anna Eskamani","Anna","V.","Eskamani","","","HD-042",45388083,184399,"",652465,"http://ballotpedia.org/Anna_Eskamani","",0,0,0,"2023-2023_Regular_Session"
19703,"qge9y7kn","2",9,"R",1,"Rep","Josie Tomkow","Josie","","Tomkow","","","HD-051",44113816,177604,"",666020,"http://ballotpedia.org/Josie_Tomkow","",0,0,0,"2023-2023_Regular_Session"
19738,"4qecge25","2",9,"R",1,"Rep","Will Robinson","Will","","Robinson","","","HD-071",42034326,184448,"",652533,"http://ballotpedia.org/Will_Robinson","",0,0,0,"2023-2023_Regular_Session"
19912,"p35wor51","2",9,"R",1,"Rep","Chuck Brannan","Robert","Charles","Brannan","III","Chuck","HD-010",406477,184319,"",652234,"http://ballotpedia.org/Chuck_Brannan","",0,0,0,"2023-2023_Regular_Session"
19919,"ipmgr1sc","2",9,"R",1,"Rep","Alex Andrade","Robert","Alexander","Andrade","","Alex","HD-002",45388020,184315,"",652228,"http://ballotpedia.org/Alex_Andrade","",0,0,0,"2023-2023_Regular_Session"
19925,"kant2znx","2",9,"R",1,"Rep","Tommy Gregory","Tommy","","Gregory","","","HD-072",42609340,184451,"",663132,"http://ballotpedia.org/Tommy_Gregory","",0,0,0,"2023-2023_Regular_Session"
19940,"eq7666uu","1",9,"D",2,"Sen","Tina Polsky","Tina","","Polsky","","","SD-030",15916244,184461,"",652562,"http://ballotpedia.org/Tina_Polsky","",0,0,0,"2023-2023_Regular_Session"
19954,"kchfqjr0","2",9,"R",2,"Sen","Tommy Wright","Tommy","A.","Wright","","","SD-008",46608083,185832,"",686432,"http://ballotpedia.org/Tom_Wright","",0,0,0,"2023-2023_Regular_Session"
19960,"lv42mggw","1",9,"D",1,"Rep","Susan Valdes","Susan","L.","Valdes","","","HD-064",1474008,184422,"",669882,"http://ballotpedia.org/Susan_Valdes","",0,0,0,"2023-2023_Regular_Session"
20006,"ajyrzy6t","1",9,"D",1,"Rep","Joseph Casello","Joseph","A.","Casello","","Joe","HD-090",45388168,149312,"",652568,"http://ballotpedia.org/Joseph_Casello","",0,0,0,"2023-2023_Regular_Session"
20018,"b56kttms","2",9,"R",1,"Rep","Spencer Roach","Spencer","","Roach","","","HD-076",45388147,184458,"",663145,"http://ballotpedia.org/Spencer_Roach","",0,0,0,"2023-2023_Regular_Session"
20023,"wsm8g6tp","2",9,"R",1,"Rep","Juan Fernandez-Barquin","Juan","","Fernandez-Barquin","","","HD-118",45103392,184506,"",652678,"http://ballotpedia.org/Juan_Fernandez-Barquin","",0,0,0,"2023-2023_Regular_Session"
20358,"ovuvhjdl","1",9,"D",1,"Rep","Dotie Joseph","Dotie","","Joseph","","","HD-108",45388194,184493,"",655607,"http://ballotpedia.org/Dotie_Joseph","",0,0,0,"2023-2023_Regular_Session"
