"legislator_name","party","chamber","district_number","leg_n_votes_partisan","leg_mean_partisanship","sd_partisan_vote","se_partisan_vote","lower_bound","upper_bound","leg_label"
"Christine Hunschofsky","D","House",95,1216,0.0197368421052632,0.130645585361417,0.00374651910532983,0.0159903229999333,0.023483361210593,"Christine Hunschofsky (D-95)"
"Christopher Benjamin","D","House",107,1126,0.022202486678508,0.129536954557459,0.00386033049184076,0.0183421561866672,0.0260628171703488,"Christopher Benjamin (D-107)"
"Chuck Brannan","R","House",10,1248,0.0016025641025641,0.0283296349835037,0.000801924876938013,0.000800639225626089,0.00240448897950212,"Chuck Brannan (R-10)"
"Chuck Clemons","R","House",22,999,0.003003003003003,0.0447661030223865,0.00141633682074594,0.00158666618225706,0.00441933982374894,"Chuck Clemons (R-22)"
"Clay Yarborough","R","Senate",4,1636,0.00733496332518337,0.0554527488902,0.0013709809810999,0.00596398234408347,0.00870594430628327,"Clay Yarborough (R-4)"
"Colleen Burton","R","Senate",12,1821,0.000823723228995058,0.0234403615469248,0.000549299663672763,0.000274423565322295,0.00137302289266782,"Colleen Burton (R-12)"
"Corey Simon","R","Senate",3,1655,0.00422960725075529,0.0649173632888404,0.00159573904998111,0.00263386820077418,0.0058253463007364,"Corey Simon (R-3)"
"Cyndi Stevenson","R","House",18,1046,0.0162523900573614,0.107050955680372,0.0033099749457615,0.0129424151115999,0.0195623650031229,"Cyndi Stevenson (R-18)"
"Dan Daley","D","House",96,1246,0.028892455858748,0.158746248533264,0.00449722327594792,0.0243952325828001,0.0333896791346959,"Dan Daley (D-96)"
"Dana Trabulsy","R","House",84,1214,0.0028830313014827,0.0496902981016739,0.00142614032105842,0.00145689098042428,0.00430917162254112,"Dana Trabulsy (R-84)"
"Daniel Alvarez","R","House",69,1160,0.000431034482758621,0,0,0.000431034482758621,0.000431034482758621,"Daniel Alvarez (R-69)"
"Daniel Burgess","R","Senate",23,1511,0,0,0,0,0,"Daniel Burgess (R-23)"
"Daniel Perez","R","House",116,906,0,0,0,0,0,"Daniel Perez (R-116)"
"Darryl Rouson","D","Senate",16,1523,0.0173998686802364,0.122275065688348,0.00313319881153011,0.0142666698687063,0.0205330674917665,"Darryl Rouson (D-16)"
"Daryl Campbell","D","House",99,1146,0.0213787085514834,0.102954320943033,0.00304125103438323,0.0183374575171002,0.0244199595858667,"Daryl Campbell (D-99)"
"David Borrero","R","House",111,1349,0.00370644922164566,0.027307730683968,0.000743497711747956,0.00296295150989771,0.00444994693339362,"David Borrero (R-111)"
"David Silvers","D","House",89,1120,0.0357142857142857,0.183567391881915,0.00548512496295407,0.0302291607513316,0.0411994106772398,"David Silvers (D-89)"
"David Smith","R","House",38,1290,0.00852713178294574,0.0833958914200852,0.00232193362112098,0.00620519816182476,0.0108490654040667,"David Smith (R-38)"
"Dean Black","R","House",15,1318,0,0,0,0,0,"Dean Black (R-15)"
