"people_id","party","legislator_name","last_name","ballotpedia","district_number","chamber","termination_date","setting_party_loyalty","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","rank_partisan_leg_R","rank_partisan_leg_D","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
20358,"D","Dotie Joseph","Joseph","http://ballotpedia.org/Dotie_Joseph",108,"House",NA,"partisan_cross",0.987179487179487,156,154,786,2,341,32,3,NA,3,16731,36241,57263,1509,303,106,112380,0.148878804057662,0.322486207510233,0.509547962270867,0.0134276561665777,0.00363943762235273,"CVAP",2022,0.805439952809793,0.184293438286728,"D",62,-62,20358,120,1
23338,"R","Doug Bankson","Bankson","http://ballotpedia.org/Doug_Bankson",39,"House",NA,"partisan_cross",0.985781990521327,211,208,946,3,29,1,0,54,NA,73768,24653,22062,4389,749,30,126079,0.585093473139857,0.195536132107647,0.174985524948643,0.0348115070709634,0.00617866575718399,"CVAP",2022,0.473046627066525,0.513131434256722,"R",4,4,23338,71,48
12367,"R","Douglas Broxson","Broxson","http://ballotpedia.org/Doug_Broxson",1,"Senate",NA,"partisan_cross",1,132,132,986,0,429,3,0,5,NA,306195,20113,66214,12319,6455,428,413206,0.741022637619008,0.0486754790588714,0.160244526942978,0.0298132166522267,0.0166575509552136,"CVAP",2022,0.322584657578383,0.658498686356823,"R",34,34,12367,3,38
1664,"R","Ed Hooper","Hooper","http://ballotpedia.org/Ed_Hooper",21,"Senate",NA,"partisan_cross",0.958041958041958,143,137,1337,6,111,3,0,23,NA,342811,40303,22182,9194,2392,232,417378,0.821344201179746,0.0965623487582,0.0531460690309504,0.0220279938089693,0.00628686706055422,"CVAP",2022,0.404764724948708,0.58056504442041,"R",18,18,1664,16,26
19064,"R","Erin Grall","Grall","http://ballotpedia.org/Erin_Grall",29,"Senate",NA,"partisan_cross",0.944444444444444,126,119,881,7,124,16,1,25,NA,298230,56436,54789,6617,3721,42,420236,0.709672660124311,0.134295967028051,0.130376740688565,0.015745914200592,0.00895449223769501,"CVAP",2022,0.380386209186298,0.608911747827245,"R",23,23,19064,10,31
23341,"R","Fabian Basabe","Basabe","http://ballotpedia.org/Fabián_Basabe",106,"House",NA,"partisan_cross",0.963350785340314,191,184,856,7,39,0,0,73,NA,49141,54701,5203,2729,302,0,112153,0.438160370208554,0.487735504177329,0.0463919823812114,0.0243328310433069,0.00269275008247662,"CVAP",2022,0.539338036243222,0.451337259530482,"D",9,-9,23341,87,35
22512,"D","Felicia Simone Robinson","Robinson","http://ballotpedia.org/Felicia_Simone_Robinson",104,"House",NA,"partisan_cross",0.957943925233645,214,205,1014,9,79,37,7,NA,14,16330,45519,48716,3524,238,0,114772,0.142282089708291,0.396603701251176,0.42445892726449,0.0307043529780783,0.00207367650646499,"CVAP",2022,0.715064656866494,0.27631560110725,"D",44,-44,22512,111,10
21029,"D","Fentrice Driskell","Driskell","http://ballotpedia.org/Fentrice_Driskell",67,"House",NA,"partisan_cross",0.970930232558139,172,167,766,5,31,14,2,NA,10,64438,26503,23605,9937,614,119,125781,0.512303130043488,0.210707499542856,0.187667453748976,0.0790023930482346,0.00582758922253758,"CVAP",2022,0.569105951590404,0.413350476544185,"D",16,-16,21029,95,26
22529,"R","Fiona McFarland","McFarland","http://ballotpedia.org/Fiona_McFarland",73,"House",NA,"partisan_cross",0.987261146496815,157,155,755,2,405,1,0,50,NA,134669,9636,7779,2574,755,65,155649,0.865209541982281,0.0619085249503691,0.0499778347435576,0.0165372087196191,0.00526826385007292,"CVAP",2022,0.474182512641281,0.514834470809259,"R",4,4,22529,72,49
23361,"D","Gallop Franklin","Franklin","http://ballotpedia.org/Gallop_Franklin",8,"House",NA,"partisan_cross",0.751412429378531,177,133,930,44,64,5,3,NA,34,56291,8665,71405,2265,1443,62,140405,0.400918770699049,0.061714326412877,0.508564509810904,0.0161319041344681,0.0107189914889071,"CVAP",2022,0.724139245833942,0.260532372402104,"D",46,-46,23361,112,9
